"","id","date","tavg"
"75","RSM00034123",2007-03-16,32
"76","RSM00034123",2007-03-17,20
"77","RSM00034123",2007-03-18,47
"78","RSM00034123",2007-03-19,37
"79","RSM00034123",2007-03-20,75
"80","RSM00034123",2007-03-21,76
"81","RSM00034123",2007-03-22,75
"82","RSM00034123",2007-03-23,57
"83","RSM00034123",2007-03-24,46
"84","RSM00034123",2007-03-25,44
"85","RSM00034123",2007-03-26,30
"86","RSM00034123",2007-03-27,46
"87","RSM00034123",2007-03-28,68
"88","RSM00034123",2007-03-29,94
"89","RSM00034123",2007-03-30,97
"90","RSM00034123",2007-03-31,79
"91","RSM00034123",2007-04-01,93
"92","RSM00034123",2007-04-02,86
"93","RSM00034123",2007-04-03,84
"94","RSM00034123",2007-04-04,113
"95","RSM00034123",2007-04-05,112
"96","RSM00034123",2007-04-06,85
"97","RSM00034123",2007-04-07,49
"98","RSM00034123",2007-04-08,30
"99","RSM00034123",2007-04-09,17
"100","RSM00034123",2007-04-10,17
"101","RSM00034123",2007-04-11,71
"102","RSM00034123",2007-04-12,71
"103","RSM00034123",2007-04-13,57
"104","RSM00034123",2007-04-14,38
"105","RSM00034123",2007-04-15,34
"106","RSM00034123",2007-04-16,54
"107","RSM00034123",2007-04-17,52
"108","RSM00034123",2007-04-18,83
"109","RSM00034123",2007-04-19,90
"110","RSM00034123",2007-04-20,90
"111","RSM00034123",2007-04-21,75
"112","RSM00034123",2007-04-22,42
"113","RSM00034123",2007-04-23,49
"114","RSM00034123",2007-04-24,58
"115","RSM00034123",2007-04-25,79
"116","RSM00034123",2007-04-26,100
"117","RSM00034123",2007-04-27,126
"118","RSM00034123",2007-04-28,146
"119","RSM00034123",2007-04-29,88
"120","RSM00034123",2007-04-30,48
"121","RSM00034123",2007-05-01,68
"122","RSM00034123",2007-05-02,31
"123","RSM00034123",2007-05-03,59
"124","RSM00034123",2007-05-04,55
"125","RSM00034123",2007-05-05,87
"126","RSM00034123",2007-05-06,75
"127","RSM00034123",2007-05-07,82
"128","RSM00034123",2007-05-08,124
"129","RSM00034123",2007-05-09,126
"130","RSM00034123",2007-05-10,114
"131","RSM00034123",2007-05-11,116
"132","RSM00034123",2007-05-12,155
"133","RSM00034123",2007-05-13,141
"134","RSM00034123",2007-05-14,136
"135","RSM00034123",2007-05-15,158
"136","RSM00034123",2007-05-16,209
"137","RSM00034123",2007-05-17,210
"138","RSM00034123",2007-05-18,197
"139","RSM00034123",2007-05-19,203
"140","RSM00034123",2007-05-20,205
"141","RSM00034123",2007-05-21,217
"142","RSM00034123",2007-05-22,240
"143","RSM00034123",2007-05-23,233
"144","RSM00034123",2007-05-24,239
"145","RSM00034123",2007-05-25,230
"146","RSM00034123",2007-05-26,224
"147","RSM00034123",2007-05-27,253
"148","RSM00034123",2007-05-28,257
"149","RSM00034123",2007-05-29,276
"150","RSM00034123",2007-05-30,270
"151","RSM00034123",2007-05-31,282
"152","RSM00034123",2007-06-01,263
"153","RSM00034123",2007-06-02,198
"154","RSM00034123",2007-06-03,163
"155","RSM00034123",2007-06-04,174
"156","RSM00034123",2007-06-05,183
"157","RSM00034123",2007-06-06,162
"158","RSM00034123",2007-06-07,157
"159","RSM00034123",2007-06-08,164
"160","RSM00034123",2007-06-09,179
"161","RSM00034123",2007-06-10,193
"162","RSM00034123",2007-06-11,181
"163","RSM00034123",2007-06-12,163
"164","RSM00034123",2007-06-13,204
"165","RSM00034123",2007-06-14,217
"166","RSM00034123",2007-06-15,221
"167","RSM00034123",2007-06-16,246
"168","RSM00034123",2007-06-17,252
"169","RSM00034123",2007-06-18,227
"170","RSM00034123",2007-06-19,223
"171","RSM00034123",2007-06-20,203
"172","RSM00034123",2007-06-21,175
"173","RSM00034123",2007-06-22,173
"174","RSM00034123",2007-06-23,161
"175","RSM00034123",2007-06-24,156
"176","RSM00034123",2007-06-25,174
"177","RSM00034123",2007-06-26,189
"178","RSM00034123",2007-06-27,206
"179","RSM00034123",2007-06-28,210
"180","RSM00034123",2007-06-29,171
"181","RSM00034123",2007-06-30,176
"182","RSM00034123",2007-07-01,190
"183","RSM00034123",2007-07-02,193
"184","RSM00034123",2007-07-03,181
"185","RSM00034123",2007-07-04,194
"186","RSM00034123",2007-07-05,216
"187","RSM00034123",2007-07-06,228
"188","RSM00034123",2007-07-07,211
"189","RSM00034123",2007-07-08,156
"190","RSM00034123",2007-07-09,157
"191","RSM00034123",2007-07-10,181
"192","RSM00034123",2007-07-11,211
"193","RSM00034123",2007-07-12,246
"194","RSM00034123",2007-07-13,268
"195","RSM00034123",2007-07-14,206
"196","RSM00034123",2007-07-15,195
"197","RSM00034123",2007-07-16,209
"198","RSM00034123",2007-07-17,217
"199","RSM00034123",2007-07-18,215
"200","RSM00034123",2007-07-19,242
"201","RSM00034123",2007-07-20,240
"202","RSM00034123",2007-07-21,213
"203","RSM00034123",2007-07-22,206
"204","RSM00034123",2007-07-23,187
"205","RSM00034123",2007-07-24,213
"206","RSM00034123",2007-07-25,244
"207","RSM00034123",2007-07-26,201
"208","RSM00034123",2007-07-27,207
"209","RSM00034123",2007-07-28,208
"210","RSM00034123",2007-07-29,210
"211","RSM00034123",2007-07-30,219
"212","RSM00034123",2007-07-31,248
"213","RSM00034123",2007-08-01,217
"214","RSM00034123",2007-08-02,236
"215","RSM00034123",2007-08-03,195
"216","RSM00034123",2007-08-04,175
"217","RSM00034123",2007-08-05,202
"218","RSM00034123",2007-08-06,201
"219","RSM00034123",2007-08-07,217
"220","RSM00034123",2007-08-08,257
"221","RSM00034123",2007-08-09,214
"222","RSM00034123",2007-08-10,199
"223","RSM00034123",2007-08-11,212
"224","RSM00034123",2007-08-12,223
"225","RSM00034123",2007-08-13,245
"226","RSM00034123",2007-08-14,258
"227","RSM00034123",2007-08-15,255
"228","RSM00034123",2007-08-16,237
"229","RSM00034123",2007-08-17,242
"230","RSM00034123",2007-08-18,248
"231","RSM00034123",2007-08-19,255
"232","RSM00034123",2007-08-20,264
"233","RSM00034123",2007-08-21,276
"234","RSM00034123",2007-08-22,267
"235","RSM00034123",2007-08-23,259
"236","RSM00034123",2007-08-24,262
"237","RSM00034123",2007-08-25,254
"238","RSM00034123",2007-08-26,234
"239","RSM00034123",2007-08-27,219
"240","RSM00034123",2007-08-28,186
"241","RSM00034123",2007-08-29,174
"242","RSM00034123",2007-08-30,129
"243","RSM00034123",2007-08-31,144
"244","RSM00034123",2007-09-01,160
"245","RSM00034123",2007-09-02,185
"246","RSM00034123",2007-09-03,158
"247","RSM00034123",2007-09-04,173
"248","RSM00034123",2007-09-05,169
"249","RSM00034123",2007-09-06,196
"250","RSM00034123",2007-09-07,191
"251","RSM00034123",2007-09-08,180
"252","RSM00034123",2007-09-09,156
"253","RSM00034123",2007-09-10,118
"254","RSM00034123",2007-09-11,115
"255","RSM00034123",2007-09-12,126
"256","RSM00034123",2007-09-13,121
"257","RSM00034123",2007-09-14,116
"258","RSM00034123",2007-09-15,104
"259","RSM00034123",2007-09-16,107
"260","RSM00034123",2007-09-17,90
"261","RSM00034123",2007-09-18,119
"262","RSM00034123",2007-09-19,136
"263","RSM00034123",2007-09-20,155
"264","RSM00034123",2007-09-21,108
"265","RSM00034123",2007-09-22,121
"266","RSM00034123",2007-09-23,141
"267","RSM00034123",2007-09-24,140
"268","RSM00034123",2007-09-25,135
"269","RSM00034123",2007-09-26,136
"270","RSM00034123",2007-09-27,133
"271","RSM00034123",2007-09-28,148
"272","RSM00034123",2007-09-29,143
"273","RSM00034123",2007-09-30,138
"274","RSM00034123",2007-10-01,151
"275","RSM00034123",2007-10-02,135
"276","RSM00034123",2007-10-03,129
"277","RSM00034123",2007-10-04,118
"278","RSM00034123",2007-10-05,140
"279","RSM00034123",2007-10-06,124
"280","RSM00034123",2007-10-07,115
"281","RSM00034123",2007-10-08,112
"282","RSM00034123",2007-10-09,90
"283","RSM00034123",2007-10-10,74
"284","RSM00034123",2007-10-11,84
"285","RSM00034123",2007-10-12,47
"286","RSM00034123",2007-10-13,72
"287","RSM00034123",2007-10-14,61
"288","RSM00034123",2007-10-15,37
"289","RSM00034123",2007-10-16,39
"290","RSM00034123",2007-10-17,77
"291","RSM00034123",2007-10-18,106
"292","RSM00034123",2007-10-19,92
"293","RSM00034123",2007-10-20,96
"294","RSM00034123",2007-10-21,107
"295","RSM00034123",2007-10-22,103
"296","RSM00034123",2007-10-23,96
"297","RSM00034123",2007-10-24,77
"298","RSM00034123",2007-10-25,73
"299","RSM00034123",2007-10-26,72
"300","RSM00034123",2007-10-27,44
"301","RSM00034123",2007-10-28,30
"302","RSM00034123",2007-10-29,41
"303","RSM00034123",2007-10-30,43
"304","RSM00034123",2007-10-31,57
"305","RSM00034123",2007-11-01,45
"306","RSM00034123",2007-11-02,73
"307","RSM00034123",2007-11-03,32
"308","RSM00034123",2007-11-04,19
"309","RSM00034123",2007-11-05,-3
"310","RSM00034123",2007-11-06,-29
"311","RSM00034123",2007-11-07,-60
"312","RSM00034123",2007-11-08,-57
"313","RSM00034123",2007-11-09,-27
"314","RSM00034123",2007-11-10,-27
"315","RSM00034123",2007-11-11,-19
"316","RSM00034123",2007-11-12,-3
"317","RSM00034123",2007-11-13,-4
"318","RSM00034123",2007-11-14,-9
"319","RSM00034123",2007-11-15,7
"320","RSM00034123",2007-11-16,0
"321","RSM00034123",2007-11-17,-3
"322","RSM00034123",2007-11-18,-33
"323","RSM00034123",2007-11-19,-77
"324","RSM00034123",2007-11-20,2
"325","RSM00034123",2007-11-21,-33
"326","RSM00034123",2007-11-22,-69
"327","RSM00034123",2007-11-23,-53
"328","RSM00034123",2007-11-24,-44
"329","RSM00034123",2007-11-25,5
"330","RSM00034123",2007-11-26,40
"331","RSM00034123",2007-11-27,24
"332","RSM00034123",2007-11-28,-3
"333","RSM00034123",2007-11-29,-24
"334","RSM00034123",2007-11-30,-11
"335","RSM00034123",2007-12-01,4
"336","RSM00034123",2007-12-02,-71
"337","RSM00034123",2007-12-03,-60
"338","RSM00034123",2007-12-04,14
"339","RSM00034123",2007-12-05,-3
"340","RSM00034123",2007-12-06,2
"341","RSM00034123",2007-12-07,-36
"342","RSM00034123",2007-12-08,-28
"343","RSM00034123",2007-12-09,-25
"344","RSM00034123",2007-12-10,-35
"345","RSM00034123",2007-12-11,-56
"346","RSM00034123",2007-12-12,-55
"347","RSM00034123",2007-12-13,-37
"348","RSM00034123",2007-12-14,-42
"349","RSM00034123",2007-12-15,-103
"350","RSM00034123",2007-12-16,-70
"351","RSM00034123",2007-12-17,-35
"352","RSM00034123",2007-12-18,-32
"353","RSM00034123",2007-12-19,-7
"354","RSM00034123",2007-12-20,-9
"355","RSM00034123",2007-12-21,5
"356","RSM00034123",2007-12-22,-1
"357","RSM00034123",2007-12-23,-4
"358","RSM00034123",2007-12-24,-54
"359","RSM00034123",2007-12-25,-49
"360","RSM00034123",2007-12-26,-68
"361","RSM00034123",2007-12-27,-61
"362","RSM00034123",2007-12-28,-72
"363","RSM00034123",2007-12-29,-75
"364","RSM00034123",2007-12-30,-99
"365","RSM00034123",2007-12-31,-130
"366","RSM00034123",2008-01-01,-168
"367","RSM00034123",2008-01-02,-173
"368","RSM00034123",2008-01-03,-136
"369","RSM00034123",2008-01-04,-190
"370","RSM00034123",2008-01-05,-195
"371","RSM00034123",2008-01-06,-203
"372","RSM00034123",2008-01-07,-179
"373","RSM00034123",2008-01-08,-188
"374","RSM00034123",2008-01-09,-170
"375","RSM00034123",2008-01-10,-223
"376","RSM00034123",2008-01-11,-171
"377","RSM00034123",2008-01-12,-87
"378","RSM00034123",2008-01-13,-46
"379","RSM00034123",2008-01-14,-5
"380","RSM00034123",2008-01-15,-30
"381","RSM00034123",2008-01-16,-37
"382","RSM00034123",2008-01-17,-35
"383","RSM00034123",2008-01-18,-45
"384","RSM00034123",2008-01-19,-46
"385","RSM00034123",2008-01-20,-62
"386","RSM00034123",2008-01-21,-18
"387","RSM00034123",2008-01-22,4
"388","RSM00034123",2008-01-23,25
"389","RSM00034123",2008-01-24,-16
"390","RSM00034123",2008-01-25,-40
"391","RSM00034123",2008-01-26,4
"392","RSM00034123",2008-01-27,12
"393","RSM00034123",2008-01-28,-26
"394","RSM00034123",2008-01-29,-45
"395","RSM00034123",2008-01-30,-66
"396","RSM00034123",2008-01-31,-67
"397","RSM00034123",2008-02-01,-18
"398","RSM00034123",2008-02-02,-13
"399","RSM00034123",2008-02-03,10
"400","RSM00034123",2008-02-04,-15
"401","RSM00034123",2008-02-05,-46
"402","RSM00034123",2008-02-06,-28
"403","RSM00034123",2008-02-07,-13
"404","RSM00034123",2008-02-08,-35
"405","RSM00034123",2008-02-09,-88
"406","RSM00034123",2008-02-10,-92
"407","RSM00034123",2008-02-11,-48
"408","RSM00034123",2008-02-12,-28
"409","RSM00034123",2008-02-13,-39
"410","RSM00034123",2008-02-14,-46
"411","RSM00034123",2008-02-15,-54
"412","RSM00034123",2008-02-16,-84
"413","RSM00034123",2008-02-17,-135
"414","RSM00034123",2008-02-18,-103
"415","RSM00034123",2008-02-19,-55
"416","RSM00034123",2008-02-20,-63
"417","RSM00034123",2008-02-21,-48
"418","RSM00034123",2008-02-22,-1
"419","RSM00034123",2008-02-23,34
"420","RSM00034123",2008-02-24,24
"421","RSM00034123",2008-02-25,23
"422","RSM00034123",2008-02-26,36
"423","RSM00034123",2008-02-27,31
"424","RSM00034123",2008-02-28,54
"425","RSM00034123",2008-02-29,36
"426","RSM00034123",2008-03-01,30
"427","RSM00034123",2008-03-02,45
"428","RSM00034123",2008-03-03,34
"429","RSM00034123",2008-03-04,32
"430","RSM00034123",2008-03-05,14
"431","RSM00034123",2008-03-06,2
"432","RSM00034123",2008-03-07,19
"433","RSM00034123",2008-03-08,40
"434","RSM00034123",2008-03-09,25
"435","RSM00034123",2008-03-10,33
"436","RSM00034123",2008-03-11,10
"437","RSM00034123",2008-03-12,22
"438","RSM00034123",2008-03-13,51
"439","RSM00034123",2008-03-14,49
"440","RSM00034123",2008-03-15,43
"441","RSM00034123",2008-03-16,27
"442","RSM00034123",2008-03-17,24
"443","RSM00034123",2008-03-18,64
"444","RSM00034123",2008-03-19,54
"445","RSM00034123",2008-03-20,12
"446","RSM00034123",2008-03-21,8
"447","RSM00034123",2008-03-22,12
"448","RSM00034123",2008-03-23,40
"449","RSM00034123",2008-03-24,84
"450","RSM00034123",2008-03-25,124
"451","RSM00034123",2008-03-26,69
"452","RSM00034123",2008-03-27,36
"453","RSM00034123",2008-03-28,35
"454","RSM00034123",2008-03-29,66
"455","RSM00034123",2008-03-30,73
"456","RSM00034123",2008-03-31,52
"457","RSM00034123",2008-04-01,80
"458","RSM00034123",2008-04-02,102
"459","RSM00034123",2008-04-03,112
"460","RSM00034123",2008-04-04,135
"461","RSM00034123",2008-04-05,140
"462","RSM00034123",2008-04-06,121
"463","RSM00034123",2008-04-07,117
"464","RSM00034123",2008-04-08,144
"465","RSM00034123",2008-04-09,134
"466","RSM00034123",2008-04-10,124
"467","RSM00034123",2008-04-11,139
"468","RSM00034123",2008-04-12,144
"469","RSM00034123",2008-04-13,147
"470","RSM00034123",2008-04-14,100
"471","RSM00034123",2008-04-15,65
"472","RSM00034123",2008-04-16,73
"473","RSM00034123",2008-04-17,37
"474","RSM00034123",2008-04-18,94
"475","RSM00034123",2008-04-19,126
"476","RSM00034123",2008-04-20,134
"477","RSM00034123",2008-04-21,118
"478","RSM00034123",2008-04-22,112
"479","RSM00034123",2008-04-23,63
"480","RSM00034123",2008-04-24,72
"481","RSM00034123",2008-04-25,91
"482","RSM00034123",2008-04-26,117
"483","RSM00034123",2008-04-27,120
"484","RSM00034123",2008-04-28,136
"485","RSM00034123",2008-04-29,134
"486","RSM00034123",2008-04-30,132
"487","RSM00034123",2008-05-01,112
"488","RSM00034123",2008-05-02,113
"489","RSM00034123",2008-05-03,121
"490","RSM00034123",2008-05-04,108
"491","RSM00034123",2008-05-05,116
"492","RSM00034123",2008-05-06,142
"493","RSM00034123",2008-05-07,77
"494","RSM00034123",2008-05-08,58
"495","RSM00034123",2008-05-09,65
"496","RSM00034123",2008-05-10,82
"497","RSM00034123",2008-05-11,96
"498","RSM00034123",2008-05-12,156
"499","RSM00034123",2008-05-13,168
"500","RSM00034123",2008-05-14,106
"501","RSM00034123",2008-05-15,76
"502","RSM00034123",2008-05-16,123
"503","RSM00034123",2008-05-17,162
"504","RSM00034123",2008-05-18,161
"505","RSM00034123",2008-05-19,202
"506","RSM00034123",2008-05-20,209
"507","RSM00034123",2008-05-21,206
"508","RSM00034123",2008-05-22,219
"509","RSM00034123",2008-05-23,222
"510","RSM00034123",2008-05-24,222
"511","RSM00034123",2008-05-25,185
"512","RSM00034123",2008-05-26,137
"513","RSM00034123",2008-05-27,93
"514","RSM00034123",2008-05-28,108
"515","RSM00034123",2008-05-29,144
"516","RSM00034123",2008-05-30,141
"517","RSM00034123",2008-05-31,112
"518","RSM00034123",2008-06-01,104
"519","RSM00034123",2008-06-02,109
"520","RSM00034123",2008-06-03,119
"521","RSM00034123",2008-06-04,132
"522","RSM00034123",2008-06-05,139
"523","RSM00034123",2008-06-06,148
"524","RSM00034123",2008-06-07,164
"525","RSM00034123",2008-06-08,135
"526","RSM00034123",2008-06-09,120
"527","RSM00034123",2008-06-10,185
"528","RSM00034123",2008-06-11,185
"529","RSM00034123",2008-06-12,212
"530","RSM00034123",2008-06-13,220
"531","RSM00034123",2008-06-14,211
"532","RSM00034123",2008-06-15,215
"533","RSM00034123",2008-06-16,203
"534","RSM00034123",2008-06-17,198
"535","RSM00034123",2008-06-18,209
"536","RSM00034123",2008-06-19,193
"537","RSM00034123",2008-06-20,194
"538","RSM00034123",2008-06-21,197
"539","RSM00034123",2008-06-22,170
"540","RSM00034123",2008-06-23,174
"541","RSM00034123",2008-06-24,183
"542","RSM00034123",2008-06-25,178
"543","RSM00034123",2008-06-26,156
"544","RSM00034123",2008-06-27,189
"545","RSM00034123",2008-06-28,183
"546","RSM00034123",2008-06-29,179
"547","RSM00034123",2008-06-30,172
"548","RSM00034123",2008-07-01,176
"549","RSM00034123",2008-07-02,175
"550","RSM00034123",2008-07-03,178
"551","RSM00034123",2008-07-04,170
"552","RSM00034123",2008-07-05,191
"553","RSM00034123",2008-07-06,205
"554","RSM00034123",2008-07-07,184
"555","RSM00034123",2008-07-08,189
"556","RSM00034123",2008-07-09,208
"557","RSM00034123",2008-07-10,190
"558","RSM00034123",2008-07-11,173
"559","RSM00034123",2008-07-12,197
"560","RSM00034123",2008-07-13,219
"561","RSM00034123",2008-07-14,247
"562","RSM00034123",2008-07-15,259
"563","RSM00034123",2008-07-16,265
"564","RSM00034123",2008-07-17,278
"565","RSM00034123",2008-07-18,263
"566","RSM00034123",2008-07-19,220
"567","RSM00034123",2008-07-20,227
"568","RSM00034123",2008-07-21,223
"569","RSM00034123",2008-07-22,236
"570","RSM00034123",2008-07-23,252
"571","RSM00034123",2008-07-24,243
"572","RSM00034123",2008-07-25,244
"573","RSM00034123",2008-07-26,241
"574","RSM00034123",2008-07-27,211
"575","RSM00034123",2008-07-28,201
"576","RSM00034123",2008-07-29,162
"577","RSM00034123",2008-07-30,166
"578","RSM00034123",2008-07-31,166
"579","RSM00034123",2008-08-01,163
"580","RSM00034123",2008-08-02,187
"581","RSM00034123",2008-08-03,223
"582","RSM00034123",2008-08-04,219
"583","RSM00034123",2008-08-05,214
"584","RSM00034123",2008-08-06,191
"585","RSM00034123",2008-08-07,151
"586","RSM00034123",2008-08-08,140
"587","RSM00034123",2008-08-09,163
"588","RSM00034123",2008-08-10,200
"589","RSM00034123",2008-08-11,207
"590","RSM00034123",2008-08-12,232
"591","RSM00034123",2008-08-13,242
"592","RSM00034123",2008-08-14,247
"593","RSM00034123",2008-08-15,261
"594","RSM00034123",2008-08-16,260
"595","RSM00034123",2008-08-17,266
"596","RSM00034123",2008-08-18,279
"597","RSM00034123",2008-08-19,275
"598","RSM00034123",2008-08-20,226
"599","RSM00034123",2008-08-21,214
"600","RSM00034123",2008-08-22,219
"601","RSM00034123",2008-08-23,206
"602","RSM00034123",2008-08-24,232
"603","RSM00034123",2008-08-25,255
"604","RSM00034123",2008-08-26,184
"605","RSM00034123",2008-08-27,172
"606","RSM00034123",2008-08-28,179
"607","RSM00034123",2008-08-29,226
"608","RSM00034123",2008-08-30,180
"609","RSM00034123",2008-08-31,115
"610","RSM00034123",2008-09-01,105
"611","RSM00034123",2008-09-02,112
"612","RSM00034123",2008-09-03,171
"613","RSM00034123",2008-09-04,212
"614","RSM00034123",2008-09-05,209
"615","RSM00034123",2008-09-06,208
"616","RSM00034123",2008-09-07,213
"617","RSM00034123",2008-09-08,212
"618","RSM00034123",2008-09-09,231
"619","RSM00034123",2008-09-10,197
"620","RSM00034123",2008-09-11,143
"621","RSM00034123",2008-09-12,110
"622","RSM00034123",2008-09-13,107
"623","RSM00034123",2008-09-14,92
"624","RSM00034123",2008-09-15,78
"625","RSM00034123",2008-09-16,89
"626","RSM00034123",2008-09-17,83
"627","RSM00034123",2008-09-18,93
"628","RSM00034123",2008-09-19,91
"629","RSM00034123",2008-09-20,107
"630","RSM00034123",2008-09-21,136
"631","RSM00034123",2008-09-22,131
"632","RSM00034123",2008-09-23,112
"633","RSM00034123",2008-09-24,99
"634","RSM00034123",2008-09-25,96
"635","RSM00034123",2008-09-26,91
"636","RSM00034123",2008-09-27,80
"637","RSM00034123",2008-09-28,87
"638","RSM00034123",2008-09-29,114
"639","RSM00034123",2008-09-30,125
"640","RSM00034123",2008-10-01,130
"641","RSM00034123",2008-10-02,150
"642","RSM00034123",2008-10-03,159
"643","RSM00034123",2008-10-04,141
"644","RSM00034123",2008-10-05,134
"645","RSM00034123",2008-10-06,149
"646","RSM00034123",2008-10-07,154
"647","RSM00034123",2008-10-08,132
"648","RSM00034123",2008-10-09,112
"649","RSM00034123",2008-10-10,51
"650","RSM00034123",2008-10-11,90
"651","RSM00034123",2008-10-12,97
"652","RSM00034123",2008-10-13,112
"653","RSM00034123",2008-10-14,98
"654","RSM00034123",2008-10-15,108
"655","RSM00034123",2008-10-16,84
"656","RSM00034123",2008-10-17,111
"657","RSM00034123",2008-10-18,99
"658","RSM00034123",2008-10-19,78
"659","RSM00034123",2008-10-20,82
"660","RSM00034123",2008-10-21,81
"661","RSM00034123",2008-10-22,67
"662","RSM00034123",2008-10-23,72
"663","RSM00034123",2008-10-24,65
"664","RSM00034123",2008-10-25,64
"665","RSM00034123",2008-10-26,64
"666","RSM00034123",2008-10-27,40
"667","RSM00034123",2008-10-28,48
"668","RSM00034123",2008-10-29,61
"669","RSM00034123",2008-10-30,82
"670","RSM00034123",2008-10-31,85
"671","RSM00034123",2008-11-01,80
"672","RSM00034123",2008-11-02,84
"673","RSM00034123",2008-11-03,70
"674","RSM00034123",2008-11-04,17
"675","RSM00034123",2008-11-05,23
"676","RSM00034123",2008-11-06,48
"677","RSM00034123",2008-11-07,15
"678","RSM00034123",2008-11-08,-22
"679","RSM00034123",2008-11-09,-6
"680","RSM00034123",2008-11-10,21
"681","RSM00034123",2008-11-11,26
"682","RSM00034123",2008-11-12,18
"683","RSM00034123",2008-11-13,26
"684","RSM00034123",2008-11-14,8
"685","RSM00034123",2008-11-15,29
"686","RSM00034123",2008-11-16,35
"687","RSM00034123",2008-11-17,65
"688","RSM00034123",2008-11-18,32
"689","RSM00034123",2008-11-19,-5
"690","RSM00034123",2008-11-20,6
"691","RSM00034123",2008-11-21,47
"692","RSM00034123",2008-11-22,45
"693","RSM00034123",2008-11-23,71
"694","RSM00034123",2008-11-24,-1
"695","RSM00034123",2008-11-25,-5
"696","RSM00034123",2008-11-26,34
"697","RSM00034123",2008-11-27,-3
"698","RSM00034123",2008-11-28,15
"699","RSM00034123",2008-11-29,21
"700","RSM00034123",2008-11-30,2
"701","RSM00034123",2008-12-01,1
"702","RSM00034123",2008-12-02,16
"703","RSM00034123",2008-12-03,44
"704","RSM00034123",2008-12-04,53
"705","RSM00034123",2008-12-05,48
"706","RSM00034123",2008-12-06,72
"707","RSM00034123",2008-12-07,78
"708","RSM00034123",2008-12-08,68
"709","RSM00034123",2008-12-09,49
"710","RSM00034123",2008-12-10,6
"711","RSM00034123",2008-12-11,-8
"712","RSM00034123",2008-12-12,-11
"713","RSM00034123",2008-12-13,-29
"714","RSM00034123",2008-12-14,-35
"715","RSM00034123",2008-12-15,-49
"716","RSM00034123",2008-12-16,-59
"717","RSM00034123",2008-12-17,-52
"718","RSM00034123",2008-12-18,-58
"719","RSM00034123",2008-12-19,-90
"720","RSM00034123",2008-12-20,-86
"721","RSM00034123",2008-12-21,-109
"722","RSM00034123",2008-12-22,-98
"723","RSM00034123",2008-12-23,-67
"724","RSM00034123",2008-12-24,-53
"725","RSM00034123",2008-12-25,-75
"726","RSM00034123",2008-12-26,-81
"727","RSM00034123",2008-12-27,-138
